description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
"CHOCOLATE DRINK MIX, CHOCOLATE",25.0,88.0,0.0,400.0,0.0,4.0,76.0,2.0,240.0,192.0,2.0
"CHOCOLATE DRINK MIX, CHOCOLATE",25.0,88.0,0.0,400.0,0.0,4.0,76.0,2.0,240.0,192.0,2.0
"MESQUITE BBQ FLAVORED POTATO CHIPS, MESQUITE BBQ",28.0,53.57,0.0,536.0,3.6,7.14,7.14,35.71,57.0,21.4,0.286
"OATMEAL WITH FLAX, PEACHES & CREAM",35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,114.0,6.9,1.143
"UTZ, POTATO CHIPS, BAR-B-Q, BAR-B-Q",28.0,50.0,0.0,536.0,3.6,7.14,3.57,32.14,57.0,21.4,0.286
"ORGANIC 21 WHOLE GRAINS AND SEEDS BREAD, 21 WHOLE GRAINS AND SEEDS",45.0,48.89,0.0,267.0,11.1,11.11,11.11,4.44,89.0,0.0,0.178
"ORGANIC WHITE BREAD DONE RIGHT, WHITE",40.0,52.5,0.0,275.0,5.0,7.5,5.0,5.0,20.0,0.0,0.1
"NUTS & SEEDS ALMONDS, PEANUTS, PUMPKIN SEEDS ENERGY BAR, NUTS & SEEDS",68.0,55.88,0.0,397.0,5.9,14.71,26.47,14.71,147.0,5.3,0.294
"COOL MINT CHOCOLATE ENERGY BAR, COOL MINT CHOCOLATE",68.0,64.71,0.0,368.0,5.9,13.24,29.41,7.35,118.0,5.3,0.294
"CHOCOLATE BROWNIE ENERGY BAR, CHOCOLATE BROWNIE",68.0,64.71,0.0,368.0,5.9,13.24,30.88,7.35,147.0,5.3,0.294
ORGANIC SPROUTED WHOLE WHEAT FLOUR,30.0,66.67,0.0,333.0,10.0,13.33,0.0,3.33,133.0,0.0,0.4
"TRIPLE CHOCOLATE SNACK BARS, TRIPLE CHOCOLATE",40.0,42.5,0.0,400.0,12.5,30.0,0.0,22.5,60.0,22.5,0.5
"CINNAMON FROSTED WHOLE GRAIN SHREDDED WHEAT CEREAL WITH ONYX SORGHUM, CINNAMON FROSTED",52.0,82.69,0.0,385.0,9.6,7.69,23.08,1.92,77.0,0.0,0.962
"OATMEAL RAISIN WALNUT ENERGY BARS, OATMEAL RAISIN WALNUT",68.0,63.24,0.0,368.0,5.9,14.71,30.88,8.82,118.0,8.8,0.294
"BLUEBERRY CRISP ENERGY BARS, BLUEBERRY CRISP",68.0,64.71,0.0,368.0,5.9,13.24,32.35,7.35,118.0,5.3,0.294
"PEANUT BUTTER BANANA WITH DARK CHOCOLATE ENERGY BARS, PEANUT BUTTER BANANA WITH DARK CHOCOLATE",68.0,60.29,0.0,382.0,5.9,14.71,30.88,10.29,118.0,5.3,0.294
"RAISIN SPROUTED FLOURLESS FLAKE CEREAL, RAISIN",55.0,76.36,0.0,345.0,9.1,12.73,20.0,1.82,91.0,0.0,0.509
"BAR, CHOCOLATE COCONUT CASHEW",64.0,54.69,0.0,422.0,4.7,18.75,28.12,17.19,156.0,32.8,0.625
"CHOCOLATE FLAVOR ALL-IN-ONE NUTRITIONAL SHAKE DRINK MIX, CHOCOLATE",46.0,28.26,0.0,370.0,15.2,43.48,2.17,13.04,174.0,104.3,2.174
"CHOCOLATE FLAVOR ALL-IN-ONE NUTRITIONAL SHAKE DRINK MIX, CHOCOLATE",46.0,28.26,0.0,370.0,15.2,43.48,2.17,13.04,174.0,104.3,2.174
"MIXED BERRY ALL-IN-ONE NUTRITIONAL SHAKE DRINK MIX, MIXED BERRY",42.0,21.43,0.0,381.0,14.3,47.62,2.38,14.29,95.0,114.3,2.381
"COCONUT ALMOND DELIGHT SNACK BARS, COCONUT ALMOND DELIGHT",44.0,40.91,0.0,455.0,13.6,15.91,2.27,34.09,55.0,20.5,0.455
"COOKIES & CREME PROTEIN-RICH MEAL BAR, COOKIES & CREME",50.0,44.0,0.0,400.0,18.0,28.0,2.0,22.0,80.0,24.0,0.6
"CARAMEL NUT CHOCOLATE HIGH PROTEIN BARS, CARAMEL NUT CHOCOLATE",96.0,37.5,36.0,406.0,2.1,31.25,8.33,15.62,25.0,15.6,0.625
"PEANUT BUTTER CRUNCH PROTEIN BARS, PEANUT BUTTER CRUNCH",86.0,30.23,35.0,453.0,2.3,34.88,9.3,20.93,19.0,14.0,0.581
"PEANUT BUTTER CRUNCH PROTEIN BARS, PEANUT BUTTER CRUNCH",86.0,30.23,35.0,453.0,2.3,34.88,9.3,20.93,19.0,14.0,0.581
"CHOCOLATE PEANUT BUTTER NUTRITION BARS, CHOCOLATE PEANUT BUTTER",50.0,48.0,10.0,420.0,6.0,28.0,30.0,14.0,80.0,60.0,2.0
"SEA SALT & VINEGAR KETTLE COOKED POTATO CHIPS, SEA SALT & VINEGAR",28.0,60.71,0.0,500.0,3.6,3.57,7.14,28.57,57.0,32.1,0.714
"EXTRA RAISINS WHEAT BRAN CEREAL WITH RAISINS, EXTRA RAISINS",60.0,78.33,0.0,333.0,10.0,6.67,31.67,1.67,133.0,15.0,0.833
"MAPLE BROWN SUGAR QUICK & EASY STEEL CUT IRISH OATMEAL, MAPLE BROWN SUGAR",54.0,75.93,0.0,370.0,5.6,5.56,33.33,3.7,74.0,0.0,0.741
"FROZEN DAIRY DESSERT, SPRING STRAWBERRY, SPRING STRAWBERRY",103.0,22.33,15.0,160.0,1.9,5.83,18.45,5.83,78.0,26.2,0.583
"FROZEN DAIRY DESSERT, TROPICAL MANGO, TROPICAL MANGO",103.0,22.33,15.0,160.0,1.9,5.83,18.45,5.83,78.0,26.2,0.583
"CHOCOLATE CHIP PEANUT CRUNCH ENERGY BAR, CHOCOLATE CHIP PEANUT CRUNCH",68.0,60.29,0.0,382.0,5.9,14.71,29.41,10.29,118.0,5.3,0.294
"REAL ICE CREAM, CHOCOLATE, CHOCOLATE",97.0,24.74,41.0,196.0,4.1,7.22,19.59,10.31,82.0,21.6,0.309
"REAL ICE CREAM, SALTED CARAMEL, SALTED CARAMEL",97.0,29.9,36.0,206.0,4.1,6.19,23.71,8.25,82.0,21.6,0.309
"REAL ICE CREAM, CREAMY VANILLA, CREAMY VANILLA",97.0,25.77,46.0,206.0,4.1,6.19,20.62,9.28,82.0,21.6,0.309
"ICE CREAM, SALTED CARAMEL",83.0,22.89,24.0,145.0,6.0,7.23,1.2,6.02,72.0,25.3,0.361
"REAL ICE CREAM, CHOCOLATE, CHOCOLATE",83.0,19.28,24.0,133.0,6.0,7.23,1.2,6.02,72.0,25.3,0.361
"FROZEN DAIRY DESERT, VANILLA-CARAMEL",100.0,21.0,20.0,170.0,2.0,6.0,18.0,7.0,80.0,27.0,0.6
"LOW FAT FRUIT & GRAIN CEREAL BAR, STRAWBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
GOLDEN JUMBO RUSSET POTATOES,148.0,17.57,0.0,74.0,1.4,2.03,0.68,0.0,16.0,18.2,0.135
"FRUIT & GRAIN CEREAL BARS, STRAWBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"PREMIUM ICE CREAM, SALTED CARAMEL CUPS",152.0,30.26,23.0,191.0,2.0,5.92,21.05,5.92,66.0,19.7,0.329
"ORGANIC HONEY OATS & FLAX BREAD, HONEY OATS & FLAX",42.0,54.76,0.0,262.0,7.1,9.52,11.9,3.57,76.0,0.0,0.19
"HONEY OATS & FLAKES CEREAL, HONEY OATS & FLAKES",40.0,80.0,0.0,375.0,5.0,7.5,22.5,2.5,75.0,20.0,1.75
"RICE SQUARES OVEN TOASTED RICE CEREAL, RICE SQUARES",41.0,85.37,0.0,366.0,2.4,7.32,7.32,0.0,20.0,14.6,1.22
FUNCTIONAL BREAKFAST BURRITO,142.0,21.13,46.0,183.0,4.2,9.86,1.41,7.75,42.0,10.6,0.211
"ORGANIC BLUES BREAD WITH BLUE CORNMEAL CRUST, BLUE CORNMEAL CRUST",42.0,50.0,0.0,286.0,9.5,11.9,9.52,7.14,76.0,0.0,0.19
"BLUEBERRY CRISP ENERGY BAR, BLUEBERRY CRISP",68.0,64.71,0.0,368.0,5.9,13.24,32.35,7.35,118.0,5.3,0.294
"SIERRA TRAIL MIX PEANUTS, CHOCOLATE, RAISINS ENERGY BAR, SIERRA TRAIL MIX",68.0,61.76,0.0,382.0,5.9,14.71,32.35,10.29,118.0,5.3,0.294
"PEANUT TOFFEE BUZZ ENERGY BAR, PEANUT TOFFEE BUZZ",68.0,61.76,0.0,382.0,5.9,14.71,30.88,8.82,118.0,5.3,0.294
"PEANUT BUTTER DARK CHOCOLATE CHUNK WHOLE NUTRITION BARS, PEANUT BUTTER DARK CHOCOLATE CHUNK",42.0,45.24,0.0,429.0,4.8,16.67,11.9,21.43,76.0,21.4,0.476
"CHOCOLATE PEANUT MINI TREATS BARS, CHOCOLATE PEANUT",20.0,50.0,0.0,400.0,10.0,15.0,15.0,17.5,160.0,18.0,1.0
"OATMEAL RAISIN MINI TREATS, OATMEAL RAISIN",20.0,55.0,0.0,400.0,10.0,15.0,30.0,17.5,160.0,18.0,1.0
"NOURISHING INDULGENCE FROZEN DAIRY DESSERT, COFFEE LATTE",100.0,19.0,17.0,160.0,2.0,6.0,16.0,7.0,80.0,30.0,0.6
"LASAGNA WITH MEAT SAUCE, MEAT SAUCE",213.0,14.55,7.0,117.0,1.9,5.16,2.82,4.23,19.0,1.1,0.141
"CEREAL BARS, STRAWBERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"FRUIT & GRAIN CEREAL BARS, MIXED BERRY",37.0,72.97,0.0,378.0,5.4,5.41,32.43,6.76,22.0,0.0,5.405
"INSTANT OATMEAL WITH FLAX, CINNAMON & SPICE",46.0,76.09,0.0,370.0,6.5,8.7,32.61,5.43,130.0,0.0,0.87
"APPLES & CINNAMON INSTANT OATMEAL, APPLES & CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,25.71,4.29,114.0,0.0,1.143
"PEANUT BUTTER BANANA WITH DARK CHOCOLATE ENERGY BAR, PEANUT BUTTER BANANA WITH DARK CHOCOLATE",68.0,60.29,0.0,382.0,5.9,14.71,30.88,10.29,118.0,5.3,0.294
ORGANIC SPROUTED WHOLE WHEAT FLOUR,30.0,66.67,0.0,333.0,10.0,13.33,0.0,3.33,133.0,0.0,0.4
"WHITE CHOCOLATE MACADAMIA NUT ENERGY BAR, WHITE CHOCOLATE MACADAMIA NUT",68.0,61.76,0.0,382.0,5.9,13.24,30.88,10.29,118.0,5.3,0.294
"MAPLE & BROWN SUGAR WEIGHT CONTROL INSTANT OATMEAL, MAPLE & BROWN SUGAR",45.0,64.44,0.0,356.0,13.3,15.56,2.22,6.67,89.0,0.0,0.889
"FRESH SWEET POTATOES, SWEET POTATOES",130.0,20.0,0.0,85.0,3.1,1.54,3.85,0.0,28.0,2.8,0.231
"SESAME SUNFLOWER SPROUTED BREAD, SESAME SUNFLOWER",35.0,40.0,0.0,229.0,5.7,11.43,2.86,2.86,17.0,25.7,0.286
"CHOCOLATE CHIP COOKIE DOUGH PROTEIN BAR, CHOCOLATE CHIP COOKIE DOUGH",75.0,49.33,0.0,387.0,2.7,26.67,36.0,9.33,107.0,16.0,0.667
"COOKIES 'N CREAM PROTEIN BAR, COOKIES 'N CREAM",75.0,53.33,7.0,373.0,1.3,26.67,40.0,6.67,107.0,20.0,0.667
"CHOCOLATE CHIP COOKIE DOUGH PROTEIN BARS, CHOCOLATE CHIP COOKIE DOUGH",75.0,49.33,0.0,387.0,2.7,26.67,36.0,9.33,107.0,16.0,0.667
